{'epoch': 0, 'iteration': 60, 'loss': '0.27148', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 61, 'loss': '0.42497', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 62, 'loss': '0.34482', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 63, 'loss': '0.87632', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 64, 'loss': '0.57635', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 65, 'loss': '0.34449', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 66, 'loss': '0.57736', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 67, 'loss': '0.41826', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 68, 'loss': '0.26554', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 69, 'loss': '0.57170', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 70, 'loss': '0.26406', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 71, 'loss': '0.65665', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 72, 'loss': '0.45397', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 73, 'loss': '0.42704', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 74, 'loss': '0.83961', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 75, 'loss': '0.47129', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 76, 'loss': '0.30897', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 77, 'loss': '0.23707', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 78, 'loss': '0.49802', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 79, 'loss': '0.29784', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 80, 'loss': '0.25022', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 81, 'loss': '0.21542', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 82, 'loss': '0.21881', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 83, 'loss': '0.39782', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 84, 'loss': '0.41861', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 85, 'loss': '0.29584', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 86, 'loss': '0.45864', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 87, 'loss': '0.31597', 'batch_size': '4.00000', 'lr': 0.005}
{'epoch': 0, 'iteration': 88, 'loss': '0.30900', 'batch_size': '4.00000', 'lr': 0.005}
